Time,Velocity
1.000000000000000000e+00,2.433147632311980146e+01
1.000019999999999909e+00,2.433134843377824552e+01
1.000040000000000040e+00,2.433122054443668958e+01
1.000059999999999949e+00,2.433109265509513364e+01
1.000080000000000080e+00,2.433096476575357769e+01
1.000099999999999989e+00,2.433083687641202175e+01
1.000119999999999898e+00,2.433070898707046581e+01
1.000140000000000029e+00,2.433058109772890987e+01
1.000159999999999938e+00,2.433045320838735392e+01
1.000180000000000069e+00,2.433032531904579443e+01
1.000199999999999978e+00,2.433019742970424204e+01
1.000220000000000109e+00,2.433006954036268255e+01
1.000240000000000018e+00,2.432994165102112660e+01
1.000259999999999927e+00,2.432981376167957066e+01
1.000280000000000058e+00,2.432968587233801472e+01
1.000299999999999967e+00,2.432955798299645878e+01
1.000320000000000098e+00,2.432943009365490283e+01
1.000340000000000007e+00,2.432930220431334689e+01
1.000359999999999916e+00,2.432917431497179095e+01
1.000380000000000047e+00,2.432904642563023501e+01
1.000399999999999956e+00,2.432891853628867906e+01
1.000420000000000087e+00,2.432879064694712312e+01
1.000439999999999996e+00,2.432866275760556718e+01
1.000459999999999905e+00,2.432853486826401124e+01
1.000480000000000036e+00,2.432840697892245529e+01
1.000499999999999945e+00,2.432827908958089935e+01
1.000520000000000076e+00,2.432815120023933986e+01
1.000539999999999985e+00,2.432802331089778747e+01
1.000559999999999894e+00,2.432789542155623153e+01
1.000580000000000025e+00,2.432776753221467203e+01
1.000599999999999934e+00,2.432763964287311964e+01
1.000620000000000065e+00,2.432751175353156015e+01
1.000639999999999974e+00,2.432738386419000420e+01
1.000660000000000105e+00,2.432725597484844826e+01
1.000680000000000014e+00,2.432712808550689232e+01
1.000699999999999923e+00,2.432700019616533638e+01
1.000720000000000054e+00,2.432687230682378043e+01
1.000739999999999963e+00,2.432674441748222449e+01
1.000760000000000094e+00,2.432661652814066855e+01
1.000780000000000003e+00,2.432648863879911261e+01
1.000799999999999912e+00,2.432636074945755666e+01
1.000820000000000043e+00,2.432623286011600072e+01
1.000839999999999952e+00,2.432610497077444478e+01
1.000860000000000083e+00,2.432597708143288884e+01
1.000879999999999992e+00,2.432584919209133290e+01
1.000899999999999901e+00,2.432572130274977695e+01
1.000920000000000032e+00,2.432559341340822101e+01
1.000939999999999941e+00,2.432546552406666507e+01
1.000960000000000072e+00,2.432533763472510557e+01
1.000979999999999981e+00,2.432520974538354963e+01
1.000999999999999890e+00,2.432508185604199724e+01
1.001020000000000021e+00,2.432495396670043775e+01
1.001039999999999930e+00,2.432482607735888180e+01
1.001060000000000061e+00,2.432469818801732586e+01
1.001079999999999970e+00,2.432457029867576992e+01
1.001100000000000101e+00,2.432444240933421398e+01
1.001120000000000010e+00,2.432431451999265803e+01
1.001139999999999919e+00,2.432418663065110209e+01
1.001160000000000050e+00,2.432405874130954615e+01
1.001179999999999959e+00,2.432393085196799021e+01
1.001200000000000090e+00,2.432380296262643427e+01
1.001219999999999999e+00,2.432367507328487832e+01
1.001239999999999908e+00,2.432354718394332238e+01
1.001260000000000039e+00,2.432341929460176644e+01
1.001279999999999948e+00,2.432329140526021050e+01
1.001300000000000079e+00,2.432316351591865100e+01
1.001319999999999988e+00,2.432303562657709861e+01
1.001339999999999897e+00,2.432290773723554267e+01
1.001360000000000028e+00,2.432277984789398317e+01
1.001379999999999937e+00,2.432265195855242723e+01
1.001400000000000068e+00,2.432252406921087129e+01
1.001419999999999977e+00,2.432239617986931535e+01
1.001440000000000108e+00,2.432226829052775940e+01
1.001460000000000017e+00,2.432214040118620346e+01
1.001479999999999926e+00,2.432201251184464752e+01
1.001500000000000057e+00,2.432188462250309158e+01
1.001519999999999966e+00,2.432175673316153564e+01
1.001540000000000097e+00,2.432162884381997969e+01
1.001560000000000006e+00,2.432150095447842375e+01
1.001579999999999915e+00,2.432137306513686781e+01
1.001600000000000046e+00,2.432124517579531187e+01
1.001619999999999955e+00,2.432111728645375592e+01
1.001640000000000086e+00,2.432098939711219998e+01
1.001659999999999995e+00,2.432086150777064404e+01
1.001679999999999904e+00,2.432073361842908810e+01
1.001700000000000035e+00,2.432060572908752860e+01
1.001719999999999944e+00,2.432047783974597621e+01
1.001740000000000075e+00,2.432034995040441672e+01
1.001759999999999984e+00,2.432022206106286077e+01
1.001779999999999893e+00,2.432009417172130483e+01
1.001800000000000024e+00,2.431996628237974889e+01
1.001819999999999933e+00,2.431983839303819295e+01
1.001840000000000064e+00,2.431971050369663701e+01
1.001859999999999973e+00,2.431958261435508106e+01
1.001880000000000104e+00,2.431945472501352512e+01
1.001900000000000013e+00,2.431932683567196918e+01
1.001919999999999922e+00,2.431919894633041324e+01
1.001940000000000053e+00,2.431907105698885729e+01
1.001959999999999962e+00,2.431894316764730135e+01
1.001980000000000093e+00,2.431881527830574541e+01
1.002000000000000002e+00,2.431868738896418947e+01
1.002019999999999911e+00,2.431855949962263352e+01
1.002040000000000042e+00,2.431843161028107758e+01
1.002059999999999951e+00,2.431830372093952164e+01
1.002080000000000082e+00,2.431817583159796214e+01
1.002099999999999991e+00,2.431804794225640620e+01
1.002119999999999900e+00,2.431792005291485381e+01
1.002140000000000031e+00,2.431779216357329432e+01
1.002159999999999940e+00,2.431766427423173837e+01
1.002180000000000071e+00,2.431753638489018243e+01
1.002199999999999980e+00,2.431740849554862649e+01
1.002220000000000111e+00,2.431728060620707055e+01
1.002240000000000020e+00,2.431715271686551461e+01
1.002259999999999929e+00,2.431702482752395866e+01
1.002280000000000060e+00,2.431689693818240272e+01
1.002299999999999969e+00,2.431676904884084678e+01
1.002320000000000100e+00,2.431664115949929084e+01
1.002340000000000009e+00,2.431651327015773489e+01
1.002359999999999918e+00,2.431638538081617895e+01
1.002380000000000049e+00,2.431625749147462301e+01
1.002399999999999958e+00,2.431612960213306707e+01
1.002420000000000089e+00,2.431600171279150757e+01
1.002439999999999998e+00,2.431587382344995518e+01
1.002459999999999907e+00,2.431574593410839924e+01
1.002480000000000038e+00,2.431561804476683974e+01
1.002499999999999947e+00,2.431549015542528380e+01
1.002520000000000078e+00,2.431536226608372786e+01
1.002539999999999987e+00,2.431523437674217192e+01
1.002559999999999896e+00,2.431510648740061598e+01
1.002580000000000027e+00,2.431497859805906003e+01
1.002599999999999936e+00,2.431485070871750409e+01
1.002620000000000067e+00,2.431472281937594815e+01
1.002639999999999976e+00,2.431459493003439221e+01
1.002660000000000107e+00,2.431446704069283626e+01
1.002680000000000016e+00,2.431433915135128032e+01
1.002699999999999925e+00,2.431421126200972438e+01
1.002720000000000056e+00,2.431408337266816844e+01
1.002739999999999965e+00,2.431395548332661249e+01
1.002760000000000096e+00,2.431382759398505655e+01
1.002780000000000005e+00,2.431369970464350061e+01
1.002799999999999914e+00,2.431357181530194467e+01
1.002820000000000045e+00,2.431344392596038517e+01
1.002839999999999954e+00,2.431331603661883278e+01
1.002860000000000085e+00,2.431318814727727329e+01
1.002879999999999994e+00,2.431306025793571735e+01
1.002899999999999903e+00,2.431293236859416496e+01
1.002920000000000034e+00,2.431280447925260546e+01
1.002939999999999943e+00,2.431267658991104952e+01
1.002960000000000074e+00,2.431254870056949358e+01
1.002979999999999983e+00,2.431242081122793763e+01
1.002999999999999892e+00,2.431229292188638169e+01
1.003020000000000023e+00,2.431216503254482575e+01
1.003039999999999932e+00,2.431203714320326981e+01
1.003060000000000063e+00,2.431190925386171386e+01
1.003079999999999972e+00,2.431178136452015792e+01
1.003100000000000103e+00,2.431165347517860198e+01
1.003120000000000012e+00,2.431152558583704604e+01
1.003139999999999921e+00,2.431139769649549010e+01
1.003160000000000052e+00,2.431126980715393415e+01
1.003179999999999961e+00,2.431114191781237821e+01
1.003200000000000092e+00,2.431101402847081872e+01
1.003220000000000001e+00,2.431088613912926277e+01
1.003239999999999910e+00,2.431075824978771038e+01
1.003260000000000041e+00,2.431063036044615089e+01
1.003279999999999950e+00,2.431050247110459495e+01
1.003300000000000081e+00,2.431037458176303900e+01
1.003319999999999990e+00,2.431024669242148306e+01
1.003339999999999899e+00,2.431011880307992712e+01
1.003360000000000030e+00,2.430999091373837118e+01
1.003379999999999939e+00,2.430986302439681523e+01
1.003400000000000070e+00,2.430973513505525929e+01
1.003419999999999979e+00,2.430960724571370335e+01
1.003440000000000110e+00,2.430947935637214741e+01
1.003460000000000019e+00,2.430935146703059146e+01
1.003479999999999928e+00,2.430922357768903552e+01
1.003500000000000059e+00,2.430909568834747958e+01
1.003519999999999968e+00,2.430896779900592364e+01
1.003540000000000099e+00,2.430883990966436414e+01
1.003560000000000008e+00,2.430871202032281175e+01
1.003579999999999917e+00,2.430858413098125581e+01
1.003600000000000048e+00,2.430845624163969632e+01
1.003619999999999957e+00,2.430832835229814393e+01
1.003640000000000088e+00,2.430820046295658443e+01
1.003659999999999997e+00,2.430807257361502849e+01
1.003679999999999906e+00,2.430794468427347255e+01
1.003700000000000037e+00,2.430781679493191660e+01
1.003719999999999946e+00,2.430768890559036066e+01
1.003740000000000077e+00,2.430756101624880472e+01
1.003759999999999986e+00,2.430743312690724878e+01
1.003779999999999895e+00,2.430730523756569283e+01
1.003800000000000026e+00,2.430717734822413689e+01
1.003819999999999935e+00,2.430704945888258095e+01
1.003840000000000066e+00,2.430692156954102501e+01
1.003859999999999975e+00,2.430679368019946907e+01
1.003880000000000106e+00,2.430666579085791312e+01
1.003900000000000015e+00,2.430653790151635718e+01
1.003919999999999924e+00,2.430641001217480124e+01
1.003940000000000055e+00,2.430628212283324174e+01
1.003959999999999964e+00,2.430615423349168935e+01
1.003980000000000095e+00,2.430602634415012986e+01
1.004000000000000004e+00,2.430589845480857392e+01
1.004019999999999913e+00,2.430577056546702153e+01
1.004040000000000044e+00,2.430564267612546203e+01
1.004059999999999953e+00,2.430551478678390609e+01
1.004080000000000084e+00,2.430538689744235015e+01
1.004099999999999993e+00,2.430525900810079420e+01
1.004119999999999902e+00,2.430513111875923826e+01
1.004140000000000033e+00,2.430500322941768232e+01
1.004159999999999942e+00,2.430487534007612638e+01
1.004180000000000073e+00,2.430474745073457044e+01
1.004199999999999982e+00,2.430461956139301449e+01
1.004219999999999891e+00,2.430449167205145855e+01
1.004240000000000022e+00,2.430436378270990261e+01
1.004259999999999931e+00,2.430423589336834667e+01
1.004280000000000062e+00,2.430410800402679072e+01
1.004299999999999971e+00,2.430398011468523478e+01
1.004320000000000102e+00,2.430385222534367529e+01
1.004340000000000011e+00,2.430372433600212290e+01
1.004359999999999919e+00,2.430359644666056695e+01
1.004380000000000051e+00,2.430346855731900746e+01
1.004399999999999959e+00,2.430334066797745152e+01
1.004420000000000091e+00,2.430321277863589557e+01
1.004440000000000000e+00,2.430308488929433963e+01
1.004459999999999908e+00,2.430295699995278369e+01
1.004480000000000040e+00,2.430282911061122775e+01
1.004499999999999948e+00,2.430270122126967181e+01
1.004520000000000080e+00,2.430257333192811586e+01
1.004539999999999988e+00,2.430244544258655992e+01
1.004559999999999897e+00,2.430231755324500398e+01
1.004580000000000028e+00,2.430218966390344804e+01
1.004599999999999937e+00,2.430206177456189209e+01
1.004620000000000068e+00,2.430193388522033615e+01
1.004639999999999977e+00,2.430180599587878021e+01
1.004660000000000108e+00,2.430167810653722071e+01
1.004680000000000017e+00,2.430155021719566832e+01
1.004699999999999926e+00,2.430142232785411238e+01
1.004720000000000057e+00,2.430129443851255289e+01
1.004739999999999966e+00,2.430116654917100050e+01
1.004760000000000097e+00,2.430103865982944100e+01
1.004780000000000006e+00,2.430091077048788506e+01
1.004799999999999915e+00,2.430078288114632912e+01
1.004820000000000046e+00,2.430065499180477318e+01
1.004839999999999955e+00,2.430052710246321723e+01
1.004860000000000086e+00,2.430039921312166129e+01
1.004879999999999995e+00,2.430027132378010535e+01
1.004899999999999904e+00,2.430014343443854941e+01
1.004920000000000035e+00,2.430001554509699346e+01
1.004939999999999944e+00,2.429988765575543752e+01
1.004960000000000075e+00,2.429975976641388158e+01
1.004979999999999984e+00,2.429963187707232564e+01
1.004999999999999893e+00,2.429950398773076969e+01
1.005020000000000024e+00,2.429937609838921375e+01
1.005039999999999933e+00,2.429924820904765781e+01
1.005060000000000064e+00,2.429912031970610187e+01
1.005079999999999973e+00,2.429899243036454592e+01
1.005100000000000104e+00,2.429886454102298643e+01
1.005120000000000013e+00,2.429873665168143049e+01
1.005139999999999922e+00,2.429860876233987810e+01
1.005160000000000053e+00,2.429846348956705526e+01
1.005179999999999962e+00,2.429831166792846631e+01
1.005200000000000093e+00,2.429815984628987380e+01
1.005220000000000002e+00,2.429800802465128484e+01
1.005239999999999911e+00,2.429785620301269589e+01
1.005260000000000042e+00,2.429770438137410338e+01
1.005279999999999951e+00,2.429755255973551442e+01
1.005300000000000082e+00,2.429740073809692191e+01
1.005319999999999991e+00,2.429724891645833296e+01
1.005339999999999900e+00,2.429709709481974400e+01
1.005360000000000031e+00,2.429694527318115149e+01
1.005379999999999940e+00,2.429679345154256254e+01
1.005400000000000071e+00,2.429664162990397003e+01
1.005419999999999980e+00,2.429648980826538107e+01
1.005440000000000111e+00,2.429633798662678856e+01
1.005460000000000020e+00,2.429618616498819961e+01
1.005479999999999929e+00,2.429603434334961065e+01
1.005500000000000060e+00,2.429588252171101814e+01
1.005519999999999969e+00,2.429573070007242919e+01
1.005540000000000100e+00,2.429557887843383668e+01
1.005560000000000009e+00,2.429542705679524772e+01
1.005579999999999918e+00,2.429527523515665877e+01
1.005600000000000049e+00,2.429512341351806626e+01
1.005619999999999958e+00,2.429497159187947730e+01
1.005640000000000089e+00,2.429481977024088479e+01
1.005659999999999998e+00,2.429466794860229584e+01
1.005679999999999907e+00,2.429451612696370688e+01
1.005700000000000038e+00,2.429436430532511437e+01
1.005719999999999947e+00,2.429421248368652542e+01
1.005740000000000078e+00,2.429406066204793291e+01
1.005759999999999987e+00,2.429390884040934395e+01
1.005779999999999896e+00,2.429375701877075500e+01
1.005800000000000027e+00,2.429360519713216249e+01
1.005819999999999936e+00,2.429345337549357353e+01
1.005840000000000067e+00,2.429330155385498102e+01
1.005859999999999976e+00,2.429314973221639207e+01
1.005880000000000107e+00,2.429299791057780311e+01
1.005900000000000016e+00,2.429284608893921060e+01
1.005919999999999925e+00,2.429269426730062165e+01
1.005940000000000056e+00,2.429254244566202914e+01
1.005959999999999965e+00,2.429239062402344018e+01
1.005980000000000096e+00,2.429223880238485123e+01
1.006000000000000005e+00,2.429208698074625872e+01
1.006019999999999914e+00,2.429193515910766976e+01
1.006040000000000045e+00,2.429178333746907725e+01
1.006059999999999954e+00,2.429163151583048830e+01
1.006080000000000085e+00,2.429147969419189934e+01
1.006099999999999994e+00,2.429132787255330683e+01
1.006119999999999903e+00,2.429117605091471788e+01
1.006140000000000034e+00,2.429102422927612892e+01
1.006159999999999943e+00,2.429087240763753641e+01
1.006180000000000074e+00,2.429072058599894746e+01
1.006199999999999983e+00,2.429056876436035495e+01
1.006219999999999892e+00,2.429041694272176599e+01
1.006240000000000023e+00,2.429026512108317704e+01
1.006259999999999932e+00,2.429011329944458453e+01
1.006280000000000063e+00,2.428996147780599557e+01
1.006299999999999972e+00,2.428980965616740306e+01
1.006320000000000103e+00,2.428965783452881411e+01
1.006340000000000012e+00,2.428950601289022515e+01
1.006359999999999921e+00,2.428935419125163264e+01
1.006380000000000052e+00,2.428920236961304369e+01
1.006399999999999961e+00,2.428905054797445473e+01
1.006420000000000092e+00,2.428889872633586222e+01
1.006440000000000001e+00,2.428874690469727327e+01
1.006459999999999910e+00,2.428859508305868076e+01
1.006480000000000041e+00,2.428844326142009180e+01
1.006499999999999950e+00,2.428829143978150285e+01
1.006520000000000081e+00,2.428813961814291034e+01
1.006539999999999990e+00,2.428798779650432138e+01
1.006559999999999899e+00,2.428783597486572887e+01
1.006580000000000030e+00,2.428768415322713992e+01
1.006599999999999939e+00,2.428753233158855096e+01
1.006620000000000070e+00,2.428738050994995845e+01
1.006639999999999979e+00,2.428722868831136950e+01
1.006660000000000110e+00,2.428707686667277699e+01
1.006680000000000019e+00,2.428692504503418803e+01
1.006699999999999928e+00,2.428677322339559908e+01
1.006720000000000059e+00,2.428662140175700657e+01
1.006739999999999968e+00,2.428646958011841761e+01
1.006760000000000099e+00,2.428631775847982510e+01
1.006780000000000008e+00,2.428616593684123615e+01
1.006799999999999917e+00,2.428601411520264719e+01
1.006820000000000048e+00,2.428586229356405468e+01
1.006839999999999957e+00,2.428571047192546573e+01
1.006860000000000088e+00,2.428555865028687322e+01
1.006879999999999997e+00,2.428540682864828426e+01
1.006899999999999906e+00,2.428525500700969530e+01
1.006920000000000037e+00,2.428510318537110280e+01
1.006939999999999946e+00,2.428495136373251384e+01
1.006960000000000077e+00,2.428479954209392133e+01
1.006979999999999986e+00,2.428464772045533238e+01
1.006999999999999895e+00,2.428449589881674342e+01
1.007020000000000026e+00,2.428434407717815091e+01
1.007039999999999935e+00,2.428419225553956196e+01
1.007060000000000066e+00,2.428404043390096945e+01
1.007079999999999975e+00,2.428388861226238049e+01
1.007100000000000106e+00,2.428373679062378798e+01
1.007120000000000015e+00,2.428358496898519903e+01
1.007139999999999924e+00,2.428343314734661007e+01
1.007160000000000055e+00,2.428328132570801756e+01
1.007179999999999964e+00,2.428312950406942861e+01
1.007200000000000095e+00,2.428297768243083610e+01
1.007220000000000004e+00,2.428282586079224714e+01
1.007239999999999913e+00,2.428267403915365819e+01
1.007260000000000044e+00,2.428252221751506568e+01
1.007279999999999953e+00,2.428237039587647672e+01
1.007300000000000084e+00,2.428221857423788421e+01
1.007319999999999993e+00,2.428206675259929526e+01
1.007339999999999902e+00,2.428191493096070630e+01
