Time,Velocity
1.000000000000000000e+00,2.741573033707859963e+01
1.000019999999999909e+00,2.741564362536378852e+01
1.000040000000000040e+00,2.741555691364897385e+01
1.000059999999999949e+00,2.741547020193416273e+01
1.000080000000000080e+00,2.741538349021934806e+01
1.000099999999999989e+00,2.741529677850453695e+01
1.000119999999999898e+00,2.741521006678972583e+01
1.000140000000000029e+00,2.741512335507491116e+01
1.000159999999999938e+00,2.741503664336010004e+01
1.000180000000000069e+00,2.741494993164528537e+01
1.000199999999999978e+00,2.741486321993047426e+01
1.000220000000000109e+00,2.741477650821565959e+01
1.000240000000000018e+00,2.741468979650084847e+01
1.000259999999999927e+00,2.741460308478603736e+01
1.000280000000000058e+00,2.741451637307122269e+01
1.000299999999999967e+00,2.741442966135641157e+01
1.000320000000000098e+00,2.741434294964159690e+01
1.000340000000000007e+00,2.741425623792678579e+01
1.000359999999999916e+00,2.741416952621197467e+01
1.000380000000000047e+00,2.741408281449716000e+01
1.000399999999999956e+00,2.741399610278234888e+01
1.000420000000000087e+00,2.741390939106753422e+01
1.000439999999999996e+00,2.741382267935272310e+01
1.000459999999999905e+00,2.741373596763791198e+01
1.000480000000000036e+00,2.741364925592309731e+01
1.000499999999999945e+00,2.741356254420828620e+01
1.000520000000000076e+00,2.741347583249347153e+01
1.000539999999999985e+00,2.741338912077866041e+01
1.000559999999999894e+00,2.741330240906384930e+01
1.000580000000000025e+00,2.741321569734903463e+01
1.000599999999999934e+00,2.741312898563422351e+01
1.000620000000000065e+00,2.741304227391940884e+01
1.000639999999999974e+00,2.741295556220459773e+01
1.000660000000000105e+00,2.741286885048978306e+01
1.000680000000000014e+00,2.741278213877497194e+01
1.000699999999999923e+00,2.741269542706016082e+01
1.000720000000000054e+00,2.741260871534534616e+01
1.000739999999999963e+00,2.741252200363053504e+01
1.000760000000000094e+00,2.741243529191572037e+01
1.000780000000000003e+00,2.741234858020090925e+01
1.000799999999999912e+00,2.741226186848609814e+01
1.000820000000000043e+00,2.741217515677128347e+01
1.000839999999999952e+00,2.741208844505647235e+01
1.000860000000000083e+00,2.741200173334165768e+01
1.000879999999999992e+00,2.741191502162684657e+01
1.000899999999999901e+00,2.741182830991203545e+01
1.000920000000000032e+00,2.741174159819722078e+01
1.000939999999999941e+00,2.741165488648240967e+01
1.000960000000000072e+00,2.741156817476759500e+01
1.000979999999999981e+00,2.741148146305278388e+01
1.000999999999999890e+00,2.741139475133797276e+01
1.001020000000000021e+00,2.741130803962315809e+01
1.001039999999999930e+00,2.741122132790834698e+01
1.001060000000000061e+00,2.741113461619353231e+01
1.001079999999999970e+00,2.741104790447872119e+01
1.001100000000000101e+00,2.741096119276391008e+01
1.001120000000000010e+00,2.741087448104909541e+01
1.001139999999999919e+00,2.741078776933428429e+01
