Time,Velocity
1.000000000000000000e+00,2.172316384180789939e+01
1.000019999999999909e+00,2.172279350998667624e+01
1.000040000000000040e+00,2.172242317816544954e+01
1.000059999999999949e+00,2.172205284634422995e+01
1.000080000000000080e+00,2.172168251452300325e+01
1.000099999999999989e+00,2.172131218270178010e+01
1.000119999999999898e+00,2.172094185088055696e+01
1.000140000000000029e+00,2.172057151905933026e+01
1.000159999999999938e+00,2.172020118723811066e+01
1.000180000000000069e+00,2.171983085541688396e+01
1.000199999999999978e+00,2.171946052359566082e+01
1.000220000000000109e+00,2.171909019177443412e+01
1.000240000000000018e+00,2.171871985995321097e+01
1.000259999999999927e+00,2.171834952813199138e+01
1.000280000000000058e+00,2.171797919631076468e+01
1.000299999999999967e+00,2.171760886448954153e+01
1.000320000000000098e+00,2.171723853266831483e+01
1.000340000000000007e+00,2.171686820084709524e+01
1.000359999999999916e+00,2.171649786902587209e+01
1.000380000000000047e+00,2.171612753720464539e+01
1.000399999999999956e+00,2.171575720538342225e+01
1.000420000000000087e+00,2.171538687356219555e+01
1.000439999999999996e+00,2.171501654174097595e+01
1.000459999999999905e+00,2.171464620991975281e+01
1.000480000000000036e+00,2.171427587809852611e+01
1.000499999999999945e+00,2.171390554627730296e+01
1.000520000000000076e+00,2.171353521445607626e+01
1.000539999999999985e+00,2.171316488263485667e+01
1.000559999999999894e+00,2.171279455081363352e+01
1.000580000000000025e+00,2.171242421899240682e+01
1.000599999999999934e+00,2.171205388717118367e+01
1.000620000000000065e+00,2.171168355534995698e+01
1.000639999999999974e+00,2.171131322352873738e+01
1.000660000000000105e+00,2.171094289170751068e+01
1.000680000000000014e+00,2.171057255988628754e+01
1.000699999999999923e+00,2.171020222806506439e+01
1.000720000000000054e+00,2.170983189624383769e+01
1.000739999999999963e+00,2.170946156442261810e+01
1.000760000000000094e+00,2.170909123260139140e+01
1.000780000000000003e+00,2.170872090078016825e+01
1.000799999999999912e+00,2.170835056895894510e+01
1.000820000000000043e+00,2.170798023713771840e+01
1.000839999999999952e+00,2.170760990531649881e+01
1.000860000000000083e+00,2.170723957349527211e+01
1.000879999999999992e+00,2.170686924167404896e+01
1.000899999999999901e+00,2.170649890985282582e+01
1.000920000000000032e+00,2.170612857803159912e+01
1.000939999999999941e+00,2.170575824621037953e+01
1.000960000000000072e+00,2.170538791438915283e+01
1.000979999999999981e+00,2.170501758256792968e+01
1.000999999999999890e+00,2.170464725074670653e+01
1.001020000000000021e+00,2.170427691892548339e+01
1.001039999999999930e+00,2.170390658710426024e+01
1.001060000000000061e+00,2.170353625528303354e+01
1.001079999999999970e+00,2.170316592346181039e+01
1.001100000000000101e+00,2.170279559164058369e+01
1.001120000000000010e+00,2.170242525981936410e+01
1.001139999999999919e+00,2.170205492799814095e+01
1.001160000000000050e+00,2.170168459617691425e+01
1.001179999999999959e+00,2.170131426435569111e+01
1.001200000000000090e+00,2.170094393253446441e+01
1.001219999999999999e+00,2.170057360071324482e+01
1.001239999999999908e+00,2.170020326889202167e+01
1.001260000000000039e+00,2.169983293707079497e+01
1.001279999999999948e+00,2.169946260524957182e+01
1.001300000000000079e+00,2.169909227342834512e+01
1.001319999999999988e+00,2.169872194160712553e+01
1.001339999999999897e+00,2.169835160978590238e+01
1.001360000000000028e+00,2.169798127796467568e+01
1.001379999999999937e+00,2.169761094614345254e+01
1.001400000000000068e+00,2.169724061432222584e+01
1.001419999999999977e+00,2.169687028250100624e+01
1.001440000000000108e+00,2.169649995067977954e+01
1.001460000000000017e+00,2.169612961885855640e+01
1.001479999999999926e+00,2.169575928703733325e+01
1.001500000000000057e+00,2.169538895521610655e+01
1.001519999999999966e+00,2.169501862339488696e+01
1.001540000000000097e+00,2.169464829157366026e+01
1.001560000000000006e+00,2.169427795975243711e+01
1.001579999999999915e+00,2.169390762793121397e+01
1.001600000000000046e+00,2.169353729610999082e+01
1.001619999999999955e+00,2.169316696428876767e+01
1.001640000000000086e+00,2.169279663246754097e+01
1.001659999999999995e+00,2.169242630064631783e+01
1.001679999999999904e+00,2.169205596882509468e+01
1.001700000000000035e+00,2.169168563700387153e+01
1.001719999999999944e+00,2.169131530518264839e+01
1.001740000000000075e+00,2.169094497336142169e+01
1.001759999999999984e+00,2.169057464154019854e+01
1.001779999999999893e+00,2.169020430971897540e+01
1.001800000000000024e+00,2.168983397789775225e+01
1.001819999999999933e+00,2.168946364607652910e+01
1.001840000000000064e+00,2.168909331425530240e+01
1.001859999999999973e+00,2.168872298243407926e+01
1.001880000000000104e+00,2.168835265061285256e+01
1.001900000000000013e+00,2.168798231879163296e+01
1.001919999999999922e+00,2.168761198697040982e+01
1.001940000000000053e+00,2.168724165514918312e+01
1.001959999999999962e+00,2.168687132332795997e+01
1.001980000000000093e+00,2.168650099150673327e+01
1.002000000000000002e+00,2.168613065968551368e+01
1.002019999999999911e+00,2.168576032786429053e+01
1.002040000000000042e+00,2.168538999604306383e+01
1.002059999999999951e+00,2.168501966422184069e+01
1.002080000000000082e+00,2.168464933240061399e+01
1.002099999999999991e+00,2.168427900057939439e+01
1.002119999999999900e+00,2.168390866875817125e+01
1.002140000000000031e+00,2.168353833693694455e+01
